ID,Outstanding _principal,Prime,Joint,PV,ABP,DP,12_mo_inquires,Rev_over_90,Auto_App,BA_V,Grade,IDA,BK,Deceased,BA_change_pre _issue,BA_change_post_issue,Days_between_issue_default,Recovered
104,1133.49,0,0,2,1,0,0,0,0,0,F,489,0,0,0,0,139,0
105,5801.66,0,0,2,1,0,0,0,0,0,F,505,0,0,0,0,109,0
106,10000,0,0,2,1,0,0,0,0,0,G,331,0,0,0,0,55,0
107,7261.6,1,0,2,1,0,0,0,0,0,C,316,0,0,0,0,173,0
108,7879.1,0,0,2,1,0,0,1,0,0,E,500,0,0,0,1,106,1
109,3976.4,0,0,0,1,0,0,0,0,0,F,524,0,0,0,0,104,1
110,4272.36,1,0,0,1,0,0,0,0,0,B,323,0,0,0,0,174,1
111,17690.98,0,0,2,0,0,0,1,0,0,F,283,0,0,0,1,151,1
112,34032.9,1,0,1,0,0,0,0,0,0,A,334,0,0,0,1,50,1
113,30474.87,1,0,3,0,0,0,0,0,0,E,595,0,0,0,0,197,0
114,8671.25,1,0,3,1,0,0,0,0,0,D,560,1,0,0,0,201,0
115,13356.49,0,0,3,0,0,0,0,0,1,G,763,0,0,0,0,134,0
116,19753.77,1,0,2,0,0,0,0,0,0,D,427,0,0,0,0,146,0
117,13351.22,0,0,2,0,0,0,0,0,0,G,400,0,0,0,0,179,0
118,5336.33,0,0,0,0,0,0,1,0,0,F,558,0,0,0,1,152,1
119,8751.16,1,0,2,1,0,0,0,0,0,D,385,0,0,0,0,108,1
120,5558.02,0,0,0,0,0,0,0,0,0,G,322,0,0,0,1,144,0
121,13550,1,0,2,1,0,0,0,0,0,E,185,0,0,0,0,50,0
122,6549.09,0,0,3,0,0,1,0,0,0,G,487,0,0,0,0,207,0
123,13967.47,1,0,0,0,0,0,0,0,0,C,433,0,0,0,0,142,0
124,4590.82,1,0,2,0,0,0,0,0,0,C,229,0,0,0,0,170,0
125,5667.59,0,0,0,0,0,0,0,0,0,F,511,0,0,0,0,144,0
126,1779.74,0,0,3,0,0,0,0,0,0,G,662,0,0,0,0,50,0
127,15777.29,1,0,2,0,0,0,1,0,0,E,441,0,0,0,0,174,0
128,7149.76,0,0,3,0,0,0,0,0,0,F,601,0,0,0,0,111,0
129,29388.58,1,0,2,0,0,0,0,0,0,D,493,0,0,1,0,130,0
130,19084.97,1,0,2,0,0,0,0,1,0,C,348,0,0,0,0,143,0
131,14478.22,0,0,2,0,0,0,0,0,0,G,220,0,0,0,1,118,0
132,7778.93,1,0,2,0,0,0,0,0,0,D,391,0,0,0,0,113,1
133,14137.66,1,0,2,0,0,0,0,0,0,E,451,0,0,0,1,124,0
134,4452.9,0,0,3,0,0,0,0,0,0,G,306,0,0,0,0,173,1
135,13857.4,1,0,3,0,0,0,1,0,0,D,403,0,0,0,0,201,0
136,3466.54,0,0,2,1,0,0,1,0,0,F,340,0,0,0,0,119,0
137,2664.39,1,0,2,0,0,0,0,1,0,B,431,0,0,0,0,103,1
138,1884.98,1,0,2,0,0,0,0,0,0,C,310,0,0,0,0,141,0
139,33056.01,1,0,3,0,0,0,0,0,0,F,469,0,0,0,0,139,0
140,4712.67,0,0,2,0,0,0,0,1,0,G,194,0,0,0,0,173,0
141,25452.07,1,0,3,0,0,0,0,0,0,C,538,0,0,0,0,187,0
142,636.57,0,0,2,0,0,0,0,0,0,E,469,0,0,0,1,95,1
143,15881.18,1,0,1,1,0,0,0,0,0,G,439,0,0,0,0,87,0
144,33458.56,1,0,3,0,0,0,0,0,0,C,449,0,0,0,1,108,0
145,13212.77,0,0,2,0,0,0,0,0,0,F,284,0,0,0,0,139,0
146,10915.15,0,0,3,0,0,0,0,0,0,G,371,0,0,0,0,201,0
147,14187.46,0,0,2,0,0,0,1,0,0,G,312,0,0,0,0,153,0
148,3207.78,0,0,0,0,0,0,1,0,0,G,645,0,0,0,0,95,0
149,5345.98,1,0,2,0,0,0,0,0,0,D,339,0,0,0,0,201,0
150,35000,1,0,3,0,0,1,0,0,0,D,633,0,0,0,0,50,0
151,11143.32,0,0,2,0,0,0,0,0,0,G,244,0,0,0,0,175,0
152,27949.68,1,0,2,0,0,0,0,0,0,C,487,0,0,0,0,202,0
153,5350.13,0,0,0,0,0,1,0,0,0,G,523,0,0,0,0,78,0
154,6879.8,0,0,2,0,0,0,1,0,0,G,440,0,0,0,0,76,0
155,7928.03,1,0,2,1,0,0,0,0,0,C,360,0,0,0,0,50,1
156,20000,0,0,2,0,0,1,0,0,0,G,328,1,0,0,0,50,0
157,29994.18,1,0,3,0,0,0,0,0,0,D,669,0,0,0,1,50,0
158,3982.8,0,0,3,0,0,0,0,0,0,G,421,0,0,0,0,173,1
159,5401.5,0,0,2,0,0,0,0,0,0,F,216,0,0,0,0,208,0
160,31252.96,1,0,2,0,0,0,0,0,0,C,263,0,0,0,0,107,0
161,7466.01,1,0,2,0,0,0,0,0,0,C,267,0,0,0,0,150,0
162,10686.97,0,0,3,0,0,0,0,0,0,G,491,0,0,0,0,144,1
163,6230.68,0,0,2,0,0,1,0,0,0,G,556,0,0,0,0,203,0
164,6605.93,0,0,2,0,0,0,0,0,0,G,418,0,0,0,0,131,0
165,2125,0,0,2,0,0,0,0,0,0,G,284,0,0,0,0,46,0
166,1192.95,1,0,0,0,0,0,0,0,0,C,479,0,0,0,0,112,0
167,4448.02,0,0,3,0,0,1,0,0,0,G,273,0,0,1,0,173,0
168,17427.2,0,0,2,0,0,0,0,0,0,G,252,0,0,0,0,174,0
169,11670,0,0,2,0,0,0,0,0,0,F,579,0,0,0,0,112,1
170,14593.73,1,0,2,0,0,0,0,1,0,G,421,0,0,0,1,215,0
171,7550.15,0,0,2,0,0,0,0,0,0,F,374,1,0,0,0,140,0
172,9066.15,1,0,3,1,0,0,0,0,0,C,705,0,0,0,0,47,0
173,1246.09,0,0,2,0,0,0,1,0,0,G,402,0,0,0,1,197,1
174,2716.15,0,0,0,0,0,0,0,0,0,G,408,0,0,0,1,175,1
175,13201.85,1,0,3,0,0,0,0,0,1,C,821,0,0,1,0,205,0
176,7273.42,0,0,3,0,0,0,0,0,1,F,663,0,0,0,0,144,0
177,6045.5,1,0,0,0,0,0,0,0,0,F,285,0,0,0,0,202,0
178,14769.29,1,0,3,0,0,0,0,0,1,D,395,0,0,0,1,174,0
179,9607.28,0,0,3,0,0,0,0,0,0,E,448,0,0,0,1,112,0
180,10860.73,1,0,2,0,0,0,0,0,0,B,429,0,0,0,0,194,0
181,9901.69,1,0,3,0,0,0,0,0,0,D,586,1,0,0,0,82,0
182,8671.46,0,0,2,0,0,0,0,0,0,F,419,0,0,0,0,124,0
183,13510.72,0,0,3,0,0,0,0,0,0,F,337,0,0,0,0,173,0
184,5775,0,0,3,0,0,0,0,0,0,G,401,0,0,0,0,52,0
185,8975.75,1,0,1,0,0,0,0,0,0,E,291,1,0,0,0,202,0
186,11585.42,0,0,2,0,0,0,0,0,0,G,384,0,0,0,0,112,0
187,22701.63,1,0,3,0,0,0,0,0,0,E,570,0,0,0,0,140,1
188,7500,1,0,0,1,0,0,0,0,0,D,572,0,0,0,0,47,0
189,2884.32,1,0,3,1,0,0,0,0,1,E,281,0,0,0,1,111,0
190,3643.21,0,0,2,0,0,0,0,0,0,G,460,0,0,0,0,143,0
191,9011.39,1,0,3,1,0,0,0,0,0,D,593,0,0,0,0,111,0
192,11365.75,0,0,3,0,0,0,0,0,0,G,423,0,0,0,1,140,0
193,2562.89,1,0,3,0,0,0,1,0,0,B,641,0,0,0,0,203,1
194,5954.93,1,0,1,0,0,0,0,0,0,C,439,0,0,0,0,157,0
195,22981.35,1,0,2,0,0,1,0,0,0,C,386,0,0,0,0,173,0
196,23781.93,1,0,0,0,0,0,0,0,0,C,518,0,0,0,0,173,0
197,24128.26,1,0,2,0,0,0,0,1,0,E,324,0,0,0,0,179,0
198,8752.95,1,0,2,0,0,0,0,0,0,C,273,1,0,0,0,143,0
199,27033.98,1,0,3,1,0,0,0,0,0,E,224,0,0,0,0,56,0
200,3214.05,0,0,3,0,0,0,0,0,0,F,275,0,0,0,0,157,0
201,13341.99,1,0,2,1,0,0,0,0,0,D,282,0,0,0,0,201,0
202,9596.66,0,0,2,0,0,0,1,0,0,E,349,0,0,0,0,125,0
203,35000,1,0,0,0,0,0,0,0,0,D,449,0,0,0,0,56,0
204,10000,0,0,2,0,0,0,0,0,0,G,360,0,0,0,0,50,0
205,2309.89,0,0,0,0,0,0,0,0,0,F,444,0,0,0,0,112,0
206,4688.94,1,0,3,0,0,0,0,0,0,D,588,0,0,0,1,144,0
207,19302.58,1,0,2,0,0,0,0,1,0,E,345,0,0,0,0,174,0
208,31142.41,1,0,2,0,0,0,0,0,0,D,310,0,0,0,0,143,0
209,2841.43,0,0,3,0,0,0,1,0,0,G,203,0,0,0,0,139,0
210,10732.59,0,0,2,1,0,0,0,0,0,E,348,0,0,0,1,53,1
211,1890.19,0,0,2,0,0,0,0,0,0,G,410,0,0,0,0,142,0
212,33452.57,1,0,0,0,0,0,0,0,0,C,581,0,0,0,0,111,0
213,7812.82,1,0,3,0,0,0,0,0,0,B,503,0,0,0,0,81,0
214,10759.09,0,0,2,0,0,0,0,0,0,E,495,0,0,0,0,105,0
215,13339.34,0,0,3,1,0,0,1,0,0,G,330,0,0,0,0,80,1
216,13179.23,1,0,1,0,0,0,0,0,0,A,406,0,0,0,0,96,0
217,7576.86,1,0,1,0,0,0,0,0,0,D,410,0,0,0,0,203,0
218,2400,0,0,3,0,0,0,0,0,0,G,382,0,0,0,0,46,0
219,14419.41,0,0,0,0,0,0,0,0,0,F,626,0,0,0,0,118,0
220,7428.87,0,0,0,0,0,0,0,0,0,G,418,0,0,0,0,175,0
221,31996.84,1,0,3,0,0,0,0,0,0,E,286,0,0,0,0,87,1
222,16999.25,1,0,2,0,0,0,0,0,0,E,467,0,0,0,0,201,0
223,11870.19,0,0,3,0,0,0,0,0,0,G,675,0,0,0,0,139,0
224,10920.32,0,0,3,0,0,0,0,0,0,G,561,0,0,0,0,112,1
225,10516.27,0,0,2,0,0,0,1,0,0,G,194,0,0,0,0,81,0
226,17332.76,0,0,0,0,0,0,0,0,0,F,633,0,0,0,0,126,0
227,6700,0,0,2,0,0,0,1,0,0,G,329,0,0,0,1,50,0
228,6412.18,0,0,2,0,0,0,0,0,0,G,353,0,0,0,0,174,1
229,6167.97,0,0,2,0,0,0,0,0,0,F,321,0,0,0,0,173,1
230,9647.42,1,0,2,0,0,0,0,1,0,B,187,0,0,0,0,50,1
231,25571.65,1,0,2,0,0,0,0,0,0,B,392,0,0,0,0,200,1
232,2727,1,0,1,0,0,0,0,0,0,C,423,0,0,0,1,173,0
233,9799.8,1,0,2,0,0,0,0,0,0,D,535,0,0,0,0,81,0
234,8782.22,0,0,2,0,0,0,0,0,0,G,534,0,0,0,0,126,1
235,3518.94,1,0,3,0,0,0,0,0,0,C,534,0,0,0,0,73,0
236,10175,0,0,2,0,0,0,1,0,0,G,487,0,0,0,0,50,0
237,9054.44,0,0,0,0,0,0,0,0,0,G,417,0,0,0,0,78,0
238,13701.79,1,0,2,0,0,0,0,0,0,D,160,0,0,0,1,173,0
239,5933.67,0,0,2,0,0,0,0,0,0,G,380,0,0,0,0,50,1
240,1857.19,0,0,3,0,0,0,0,0,0,G,697,0,0,0,0,169,0
241,3714.41,0,0,0,0,0,0,0,0,0,G,639,0,0,0,0,173,0
242,31065.6,1,0,1,0,0,0,0,0,0,C,600,0,0,0,0,139,0
243,13161.14,1,0,3,0,0,0,0,0,1,A,588,0,0,0,1,47,1
244,7119.02,0,0,2,0,0,0,0,0,0,G,341,0,0,0,0,143,0
245,8625.62,0,0,2,0,0,0,0,0,0,G,387,0,0,0,0,175,0
246,4547.97,0,0,2,0,0,0,0,0,0,G,360,0,0,0,0,202,0
247,2265.04,0,0,0,0,0,0,0,0,0,F,194,0,0,0,0,142,0
248,4677.87,1,0,3,0,0,0,0,0,0,D,371,0,0,0,0,107,0
249,3181.66,1,0,0,0,0,0,0,0,0,D,564,0,0,0,0,203,0
250,8768.42,0,1,3,1,0,0,0,0,0,E,263,0,0,0,0,83,1
251,7913.45,0,0,0,0,0,0,0,0,0,G,381,0,0,0,0,196,0
252,8088.62,0,0,2,0,0,0,0,1,0,F,316,0,0,0,0,114,0
253,6012.51,0,0,2,1,0,0,0,0,0,F,319,0,0,0,0,202,0
254,3855.33,0,0,0,0,0,0,0,0,0,G,463,0,0,0,0,109,0
255,13903.22,0,0,3,0,0,0,0,0,0,G,580,0,0,0,0,184,0
256,13445.04,0,0,0,0,0,0,0,0,0,G,592,0,0,0,0,207,1
257,27772.8,1,0,2,0,0,0,0,0,0,F,407,0,0,0,0,139,0
258,11365.75,0,0,2,0,0,0,0,0,0,G,374,0,0,0,0,140,0
259,23436.71,1,0,2,0,0,1,0,0,0,D,362,0,0,0,0,139,0
260,13312.5,0,0,3,0,0,0,0,0,0,G,290,0,0,0,0,139,1
261,3250.9,0,0,2,0,0,0,1,0,0,G,303,0,0,0,0,47,1
262,5624.79,1,0,2,0,0,0,1,0,0,D,469,0,0,0,0,108,0
263,10664.58,0,0,3,0,0,0,0,0,0,F,593,0,0,0,0,139,0
264,4170.51,0,0,2,0,0,0,0,0,0,G,370,0,0,0,0,221,1
265,7453.31,1,0,3,0,0,0,0,0,0,C,677,0,0,0,0,139,0
266,3178.26,1,0,2,0,0,1,0,0,0,C,387,0,0,0,0,202,0
267,19847.76,0,0,2,1,0,0,0,0,0,F,259,0,0,0,0,62,0
268,29229.12,1,0,2,0,0,0,0,1,0,E,463,0,0,0,1,83,0
269,22708.87,1,0,2,0,0,0,0,0,0,C,228,0,0,0,0,173,0
270,4393.44,0,0,2,0,0,0,0,0,0,E,340,0,0,0,0,182,1
271,8803.15,0,0,2,0,0,0,0,1,0,E,119,0,0,0,0,173,0
272,2857.88,1,0,2,0,0,0,0,0,0,B,298,0,0,0,1,111,0
273,4729.14,0,0,2,0,0,0,0,0,0,G,345,0,0,0,0,142,0
274,9491.82,1,0,3,0,0,0,0,0,0,D,567,0,0,0,0,202,0
275,8421.25,0,0,0,1,0,0,1,0,0,F,290,0,0,0,0,173,1
276,13885,0,0,3,0,0,0,0,0,0,F,318,0,0,0,0,116,0
277,3584.84,1,0,2,0,0,0,0,1,0,C,447,0,0,0,1,148,0
278,9530.99,0,0,0,0,0,0,0,0,0,F,488,0,0,0,0,54,1
279,6188.76,0,0,3,0,0,0,1,0,0,F,362,0,0,0,0,111,1
280,15539.62,1,0,1,0,0,0,0,0,0,D,320,0,0,0,1,155,0
281,13313.71,0,0,0,0,0,0,0,0,0,G,559,0,0,0,1,201,1
282,17517.73,1,0,0,0,0,0,0,0,0,E,252,0,0,0,0,214,0
283,4433.02,0,0,0,0,0,0,0,0,0,F,413,0,0,0,1,141,1
284,19304.29,0,0,2,0,0,0,0,1,0,G,468,0,0,0,1,112,0
285,5667.57,1,0,3,0,0,0,0,0,0,C,362,0,0,0,0,210,0
286,6677.89,0,0,2,0,0,0,0,0,0,G,313,0,0,0,0,173,0
287,14410.92,0,0,2,0,0,0,0,0,0,E,390,0,0,0,0,112,0
288,6609.33,0,0,2,0,0,0,0,0,0,F,322,0,0,0,0,143,0
289,8593.64,0,0,3,0,0,0,0,0,0,G,608,0,0,0,0,95,0
290,12701.01,0,0,2,1,0,0,0,1,0,F,221,0,0,0,0,50,0
291,7466,1,0,2,0,0,0,0,0,0,C,484,0,0,0,0,153,0
292,7853.37,0,0,3,1,0,0,0,0,0,F,485,0,0,0,0,50,0
293,26098.9,1,0,3,0,0,0,0,0,0,E,214,0,0,0,0,90,0
294,4109.8,1,0,2,0,0,0,0,1,0,B,398,0,0,0,0,202,1
295,7537.71,0,0,2,0,0,0,0,0,0,F,359,0,0,0,1,151,1
296,4436.02,0,0,3,1,0,0,1,0,0,F,662,0,0,0,0,178,0
297,11349.98,0,0,2,0,0,0,0,0,0,G,198,0,0,0,0,146,0
298,3783.32,0,0,2,0,0,0,0,0,0,G,344,0,0,0,0,129,0
299,7573.76,0,0,2,0,0,0,0,1,0,F,260,0,0,0,0,201,0
300,13643.92,0,0,2,0,0,0,0,0,0,G,434,0,0,0,0,201,1
301,7851.46,0,0,3,0,0,0,0,0,1,F,693,0,0,0,0,93,0
302,22833.55,1,0,2,0,0,0,1,0,0,D,314,0,0,0,0,78,0
303,3927.83,0,0,2,0,0,0,0,0,0,F,392,0,0,0,0,93,0
304,12299.66,1,0,3,0,0,0,0,0,0,G,371,0,0,0,0,139,0
305,4313.04,1,0,0,1,0,0,0,0,0,C,397,0,0,0,0,182,1
306,13623.2,0,0,3,0,0,0,0,0,0,G,561,0,0,0,0,203,0
307,10755.05,1,0,2,0,0,0,0,0,0,D,402,0,0,0,0,201,0
308,5196.48,0,0,3,0,0,1,0,0,0,G,634,0,0,0,0,113,0
309,7983.63,0,0,3,0,0,0,0,0,0,G,710,0,0,0,0,139,1
310,13589.52,0,0,3,0,0,0,0,0,0,F,404,0,0,0,1,117,1
311,23094.05,1,1,3,0,0,0,0,0,0,C,394,0,0,0,1,83,1
312,11789.44,0,0,2,0,0,1,0,0,0,G,324,0,0,0,0,92,0
313,13320.84,0,1,0,0,0,0,0,0,0,G,531,0,0,0,0,83,1
314,14642.47,1,0,2,0,0,0,0,0,0,G,380,0,0,0,0,144,0
315,18983.68,1,0,2,0,0,0,0,1,0,D,311,0,0,0,0,202,0
316,15000,0,0,2,0,0,0,0,0,0,G,358,0,0,0,1,50,0
317,5781.97,0,0,0,0,0,0,0,0,0,E,385,0,0,0,1,120,0
318,13903.24,0,0,3,0,0,0,0,0,0,G,595,0,0,0,1,151,0
319,4292.48,1,0,2,0,0,0,0,0,0,C,343,0,0,0,1,112,0
320,5653.28,0,0,3,0,0,0,0,0,0,F,404,0,0,0,0,142,0
321,32365.96,1,0,2,0,0,0,1,1,0,F,253,0,0,0,0,174,0
322,2662.74,1,0,0,0,0,0,0,0,0,C,512,0,0,0,1,210,1
323,9224.41,0,0,2,0,0,0,0,0,0,F,412,0,0,0,0,112,1
324,14199.54,1,0,2,0,0,0,1,0,0,E,466,0,0,0,0,198,1
325,4366.06,0,0,2,0,0,0,1,0,0,G,403,0,0,0,0,215,0
326,3715.35,0,0,3,0,0,0,0,0,1,G,876,0,0,0,0,184,0
327,3169.04,0,0,3,0,0,0,1,0,0,F,654,0,0,0,0,173,0
328,7257.57,1,0,1,0,0,0,0,0,0,C,407,0,0,0,0,151,0
329,19438.67,1,0,2,0,0,0,0,0,0,E,540,0,0,0,0,142,0
330,8844.5,1,0,2,0,0,1,0,0,0,E,428,0,0,0,0,173,0
331,7710.3,0,0,2,0,0,0,0,0,0,G,362,0,0,0,0,157,0
332,4240.32,0,0,3,0,0,0,0,0,0,G,682,0,0,0,1,81,0
333,13338.18,0,0,0,0,0,0,0,0,0,G,457,0,0,0,0,116,1
334,7845.83,0,0,2,0,0,0,0,0,0,E,608,0,0,0,1,195,1
335,7546.7,0,0,2,0,0,0,0,1,0,G,345,0,0,0,1,143,1
336,17776.93,0,0,2,0,0,0,0,1,0,G,110,0,0,0,0,174,0
337,6752.46,0,0,2,0,0,1,0,1,0,G,263,0,0,0,1,112,0
